Year,Month,Temperature Anomaly,UC,Temperature
1906,8,0.532,0.594,16.092
1906,9,-0.300,0.344,10.76
1906,10,0.249,0.348,4.759
1906,11,0.933,0.716,-1.187
1906,12,1.391,1.025,-5.619
1907,1,0.516,0.636,-9.274
1907,2,-1.557,1.396,-9.087
1907,3,-1.924,0.415,-3.944
1907,4,0.775,0.764,5.305
1907,5,-1.734,0.309,7.326
1907,6,-2.254,0.814,11.316
1907,7,-1.050,0.711,15.32
1907,8,-0.216,0.453,15.344
1907,9,-0.936,0.289,10.124
1907,10,-2.476,0.400,2.034
1907,11,-0.515,0.945,-2.635
1907,12,-0.233,0.644,-7.243
1908,1,0.793,0.874,-8.997
1908,2,-1.757,0.856,-9.287
1908,3,-1.938,0.678,-3.958
1908,4,-0.491,0.748,4.039
1908,5,-0.546,0.441,8.514
1908,6,-0.480,0.578,13.09
1908,7,0.887,0.702,17.257
1908,8,-0.069,0.665,15.491
1908,9,-0.560,0.586,10.5
1908,10,-2.624,0.518,1.886
1908,11,0.663,0.369,-1.457
1908,12,-0.427,0.572,-7.437
1909,1,-3.162,0.901,-12.952
1909,2,-1.398,1.976,-8.928
1909,3,-0.025,0.756,-2.045
1909,4,1.257,0.457,5.787
1909,5,-0.109,0.402,8.951
